,user_id,book,rating,author,year,publisher,image,book_id
0,2033,Couplehood,8,PAUL REISER,1995,Bantam,http://images.amazon.com/images/P/0553573136.01.LZZZZZZZ.jpg,0
1,2033,Ender's Game (Ender Wiggins Saga (Paperback)),10,Orson Scott Card,1986,Tor Books,http://images.amazon.com/images/P/0812550706.01.LZZZZZZZ.jpg,1
2,2033,Harry Potter and the Chamber of Secrets (Book 2),9,J. K. Rowling,1999,Scholastic,http://images.amazon.com/images/P/0439064864.01.LZZZZZZZ.jpg,2
3,2033,Harry Potter and the Goblet of Fire (Book 4),9,J. K. Rowling,2000,Scholastic,http://images.amazon.com/images/P/0439139597.01.LZZZZZZZ.jpg,3
4,2033,Harry Potter and the Order of the Phoenix (Book 5),9,J. K. Rowling,2003,Scholastic,http://images.amazon.com/images/P/043935806X.01.LZZZZZZZ.jpg,4
5,2033,Harry Potter and the Prisoner of Azkaban (Book 3),9,J. K. Rowling,1999,Scholastic,http://images.amazon.com/images/P/0439136350.01.LZZZZZZZ.jpg,5
6,2033,Harry Potter and the Sorcerer's Stone (Book 1),9,J. K. Rowling,1998,Scholastic,http://images.amazon.com/images/P/0590353403.01.LZZZZZZZ.jpg,6
7,2033,Interview with the Vampire,5,Anne Rice,1993,Ballantine Books,http://images.amazon.com/images/P/0345337662.01.LZZZZZZZ.jpg,7
8,2033,Key of Light (Key Trilogy (Paperback)),6,Nora Roberts,2003,Jove Books,http://images.amazon.com/images/P/051513628X.01.LZZZZZZZ.jpg,8
9,2110,Confessions of an Ugly Stepsister : A Novel,7,Gregory Maguire,2000,Regan Books,http://images.amazon.com/images/P/0060987529.01.LZZZZZZZ.jpg,9
10,2110,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),10,J. K. Rowling,1999,Arthur A. Levine Books,http://images.amazon.com/images/P/059035342X.01.LZZZZZZZ.jpg,10
11,2110,Life of Pi,5,Yann Martel,2002,Harcourt,http://images.amazon.com/images/P/0151008116.01.LZZZZZZZ.jpg,11
12,2110,Thinner,9,Stephen King,1985,New Amer Library,http://images.amazon.com/images/P/0451161343.01.LZZZZZZZ.jpg,12
13,2276,2nd Chance,10,James Patterson,2003,Warner Vision,http://images.amazon.com/images/P/0446612790.01.LZZZZZZZ.jpg,13
14,2276,Dirk Gently's Holistic Detective Agency,5,Douglas Adams,1988,Pocket,http://images.amazon.com/images/P/0671660632.01.LZZZZZZZ.jpg,14
15,2276,Dust to Dust,9,TAMI HOAG,2002,Bantam,http://images.amazon.com/images/P/0553582526.01.LZZZZZZZ.jpg,15
16,2276,Isle of Dogs,4,Patricia Cornwell,2002,Berkley Publishing Group,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg,16
17,2276,Nickel and Dimed: On (Not) Getting By in America,10,Barbara Ehrenreich,2002,Owl Books,http://images.amazon.com/images/P/0805063897.01.LZZZZZZZ.jpg,17
18,2276,Skipping Christmas,5,JOHN GRISHAM,2001,Doubleday,http://images.amazon.com/images/P/0385505833.01.LZZZZZZZ.jpg,18
19,2276,Southern Cross,9,Patricia Daniels Cornwell,1999,Berkley Publishing Group,http://images.amazon.com/images/P/0425172546.01.LZZZZZZZ.jpg,19
20,2276,The Brethren,10,John Grisham,2000,Island,http://images.amazon.com/images/P/0440236673.01.LZZZZZZZ.jpg,20
21,2276,The Gift,8,Madeena S. Nolan,1981,Dell Publishing,http://images.amazon.com/images/P/0440128757.01.LZZZZZZZ.jpg,21
22,2276,The Runaway Jury,10,JOHN GRISHAM,1997,Dell,http://images.amazon.com/images/P/0440221471.01.LZZZZZZZ.jpg,22
23,2276,Watership Down,9,Richard Adams,1976,Avon,http://images.amazon.com/images/P/0380002930.01.LZZZZZZZ.jpg,23
24,4017,A Widow for One Year,10,JOHN IRVING,1999,Ballantine Books,http://images.amazon.com/images/P/0345424719.01.LZZZZZZZ.jpg,24
25,4017,"Ahab's Wife: Or, The Star-Gazer: A Novel",7,Sena Jeter Naslund,2000,Perennial,http://images.amazon.com/images/P/0688177859.01.LZZZZZZZ.jpg,25
26,4017,Angela's Ashes: A Memoir,10,Frank McCourt,1999,Scribner,http://images.amazon.com/images/P/068484267X.01.LZZZZZZZ.jpg,26
27,4017,Beloved,10,Toni Morrison,1998,Plume Books,http://images.amazon.com/images/P/0452280621.01.LZZZZZZZ.jpg,27
28,4017,Brave New World,9,Aldous Huxley,1998,Perennial,http://images.amazon.com/images/P/0060929871.01.LZZZZZZZ.jpg,28
29,4017,"Breath, Eyes, Memory",10,Edwidge Danticat,1998,Vintage Books USA,http://images.amazon.com/images/P/037570504X.01.LZZZZZZZ.jpg,29
30,4017,Bridget Jones : The Edge of Reason,8,Helen Fielding,2000,Viking Books,http://images.amazon.com/images/P/0670892963.01.LZZZZZZZ.jpg,30
31,4017,Bridget Jones's Diary,9,Helen Fielding,1999,Penguin Books,http://images.amazon.com/images/P/014028009X.01.LZZZZZZZ.jpg,31
32,4017,Charming Billy,10,Alice McDermott,1999,Delta,http://images.amazon.com/images/P/038533334X.01.LZZZZZZZ.jpg,32
33,4017,Drowning Ruth,9,Christina Schwarz,2000,Doubleday,http://images.amazon.com/images/P/0385502532.01.LZZZZZZZ.jpg,33
34,4017,Into the Wild,10,Jon Krakauer,1997,Anchor,http://images.amazon.com/images/P/0385486804.01.LZZZZZZZ.jpg,34
35,4017,Jewel,10,Bret Lott,1999,Washington Square Press,http://images.amazon.com/images/P/0671038184.01.LZZZZZZZ.jpg,35
36,4017,Lucky : A Memoir,10,Alice Sebold,2002,Back Bay Books,http://images.amazon.com/images/P/0316096199.01.LZZZZZZZ.jpg,36
37,4017,On the Road,10,Jack Kerouac,1991,Penguin Books,http://images.amazon.com/images/P/0140042598.01.LZZZZZZZ.jpg,37
38,4017,One True Thing,10,Anna Quindlen,1997,Delta Trade Paperbacks,http://images.amazon.com/images/P/0385319207.01.LZZZZZZZ.jpg,38
39,4017,Plainsong (Vintage Contemporaries),9,KENT HARUF,2000,Vintage,http://images.amazon.com/images/P/0375705856.01.LZZZZZZZ.jpg,39
40,4017,"River, Cross My Heart",5,Breena Clarke,1999,Little Brown &amp; Company,http://images.amazon.com/images/P/0316899984.01.LZZZZZZZ.jpg,40
41,4017,SHIPPING NEWS,10,Annie Proulx,1994,Scribner,http://images.amazon.com/images/P/0671510053.01.LZZZZZZZ.jpg,41
42,4017,STONES FROM THE RIVER,5,Ursula Hegi,1997,Touchstone,http://images.amazon.com/images/P/068484477X.01.LZZZZZZZ.jpg,42
